Programområdekode,Utdanningsprogram,Programområde,2022,2023,2024
RMEKF3,Restaurant- og matfag,RMEKF3 - Ernæringskokkfaget,155.0,259.0,243.0
RMFVF3,Restaurant- og matfag,RMFVF3 - Ferskvarehandlerfaget,18.0,46.0,59.0
RMIKO3,Restaurant- og matfag,RMIKO3 - Institusjonskokkfaget,185.0,28.0,1.0
RMIMP3,Restaurant- og matfag,RMIMP3 - Industriell matproduksjon,69.0,63.0,50.0
RMKOK3,Restaurant- og matfag,RMKOK3 - Kokkfaget,988.0,962.0,1004.0
RMKON3,Restaurant- og matfag,RMKON3 - Konditorfaget,145.0,146.0,158.0
RMKSK3,Restaurant- og matfag,RMKSK3 - Kjøttskjærerfaget,16.0,10.0,10.0
RMPMF3,Restaurant- og matfag,RMPMF3 - Pølsemakerfaget,15.0,19.0,22.0
RMSER3,Restaurant- og matfag,RMSER3 - Servitørfaget,148.0,138.0,146.0
RMSLF3,Restaurant- og matfag,RMSLF3 - Slakterfaget,12.0,11.0,12.0
RMSMH3,Restaurant- og matfag,RMSMH3 - Sjømathandlerfaget,24.0,9.0,1.0
RMSMP3,Restaurant- og matfag,RMSMP3 - Sjømatproduksjon,11.0,15.0,15.0
SR,"Salg, service og reiseliv",Alle programområder,1158.0,2198.0,2473.0
SRRLV3,"Salg, service og reiseliv",SRRLV3 - Reiselivsfaget,142.0,255.0,296.0
SRSIK3,"Salg, service og reiseliv",SRSIK3 - Sikkerhetsfaget,162.0,268.0,246.0
SRSLG3,"Salg, service og reiseliv",SRSLG3 - Salgsfaget,613.0,1171.0,1361.0
SRSOA3,"Salg, service og reiseliv",SRSOA3 - Service- og administrasjonsfaget,241.0,504.0,570.0
SS,Service og samferdsel,Alle programområder,3198.0,812.0,126.0
SSIDT3,Service og samferdsel,SSIDT3 - IKT-driftsteknikerfaget,25.0,1.0,
SSISF3,Service og samferdsel,SSISF3 - IKT-servicefaget,550.0,82.0,5.0
SSITU3,Service og samferdsel,SSITU3 - IKT-tjenesteutviklerfaget,2.0,,
SSKAD3,Service og samferdsel,SSKAD3 - Kontor- og administrasjonsfaget,402.0,56.0,8.0
SSLOG3,Service og samferdsel,SSLOG3 - Logistikkfaget,283.0,77.0,19.0
SSRES3,Service og samferdsel,SSRES3 - Resepsjonsfaget,97.0,12.0,1.0
SSRLV3,Service og samferdsel,SSRLV3 - Reiselivsfaget,41.0,8.0,
SSSIK3,Service og samferdsel,SSSIK3 - Sikkerhetsfaget,136.0,20.0,1.0
SSSLG3,Service og samferdsel,SSSLG3 - Salgsfaget,880.0,258.0,29.0
SSYRK3,Service og samferdsel,SSYRK3 - Yrkessjåførfaget,782.0,298.0,63.0
TP,Teknologi- og industrifag,Alle programområder,9590.0,10467.0,11327.0
TPALU3,Teknologi- og industrifag,TPALU3 - Aluminiumskonstruksjonsfaget,17.0,15.0,12.0
TPAMM3,Teknologi- og industrifag,TPAMM3 - Anleggsmaskinmekanikerfaget,211.0,200.0,205.0
TPBIP3,Teknologi- og industrifag,TPBIP3 - Bilpleiefaget,35.0,56.0,58.0
